"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Deaths and age-specific mortality rates, by selected grouped causes",13100392,102-0551,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310039201",1;2;18;27;28;29;30;31;32,"CURRENT - a cube available to the public and that is current",Annual,2000-01-01,2016-01-01,5

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,"Geography, place of residence",3;4,
2,"Age at time of death",6;7;10,
3,Sex,5,
4,"Cause of death (ICD-10)",11;12;13,
5,Characteristics,19;20;21;22;23;24;25,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"Canada, place of residence",11124,1,,,,
2,"Age at time of death, all ages",,1,,,,
2,"Age at time of death, under 1 year",,2,1,,8,
2,"Age at time of death, 1 to 4 years",,3,1,,9,
2,"Age at time of death, 5 to 9 years",,4,1,,,
2,"Age at time of death, 10 to 14 years",,5,1,,,
2,"Age at time of death, 15 to 19 years",,6,1,,,
2,"Age at time of death, 20 to 24 years",,7,1,,,
2,"Age at time of death, 25 to 29 years",,8,1,,,
2,"Age at time of death, 30 to 34 years",,9,1,,,
2,"Age at time of death, 35 to 39 years",,10,1,,,
2,"Age at time of death, 40 to 44 years",,11,1,,,
2,"Age at time of death, 45 to 49 years",,12,1,,,
2,"Age at time of death, 50 to 54 years",,13,1,,,
2,"Age at time of death, 55 to 59 years",,14,1,,,
2,"Age at time of death, 60 to 64 years",,15,1,,,
2,"Age at time of death, 65 to 69 years",,16,1,,,
2,"Age at time of death, 70 to 74 years",,17,1,,,
2,"Age at time of death, 75 to 79 years",,18,1,,,
2,"Age at time of death, 80 to 84 years",,19,1,,,
2,"Age at time of death, 85 to 89 years",,20,1,,,
2,"Age at time of death, 90 years and over",,21,1,,,
2,"Age at time of death, not stated",,22,1,,26,
3,"Both sexes",,1,,,,
3,Males,,2,1,,,
3,Females,,3,1,,,
4,"Total, all causes of death",A00-Y89,1,,,,
4,"Salmonella infections",A01-A02,2,1,,,
4,"Shigellosis and amoebiasis","A03, A06",3,1,,,
4,"Certain other intestinal infections","A04, A07-A09",4,1,,,
4,Tuberculosis,A16-A19,5,1,,,
4,"Respiratory tuberculosis",A16,6,5,,,
4,"Other tuberculosis",A17-A19,7,5,,,
4,"Whooping cough",A37,8,1,,,
4,"Scarlet fever and erysipelas","A38, A46",9,1,,,
4,"Meningococcal infection",A39,10,1,,,
4,Sepsis,A40-A41,11,1,,,
4,Syphilis,A50-A53,12,1,,,
4,"Acute poliomyelitis",A80,13,1,,,
4,"Arthropod-borne viral encephalitis","A83-A84, A85.2",14,1,,,
4,Measles,B05,15,1,,,
4,"Viral hepatitis",B15-B19,16,1,,,
4,"Human immunodeficiency virus [HIV] disease",B20-B24,17,1,,,
4,Malaria,B50-B54,18,1,,,
4,"Other and unspecified infectious and parasitic diseases and their sequelae",,19,1,,14,
4,"Malignant neoplasms",C00-C97,20,1,,,
4,"Malignant neoplasms of lip, oral cavity and pharynx",C00-C14,21,20,,,
4,"Malignant neoplasm of oesophagus",C15,22,20,,,
4,"Malignant neoplasm of stomach",C16,23,20,,,
4,"Malignant neoplasms of colon, rectum and anus",C18-C21,24,20,,,
4,"Malignant neoplasm of liver and intrahepatic bile ducts",C22,25,20,,,
4,"Malignant neoplasm of pancreas",C25,26,20,,,
4,"Malignant neoplasm of larynx",C32,27,20,,,
4,"Malignant neoplasms of trachea, bronchus and lung",C33-C34,28,20,,,
4,"Malignant melanoma of skin",C43,29,20,,,
4,"Malignant neoplasm of breast",C50,30,20,,,
4,"Malignant neoplasm of cervix uteri",C53,31,20,,,
4,"Malignant neoplasms of corpus uteri and uterus, part unspecified",C54-C55,32,20,,,
4,"Malignant neoplasm of ovary",C56,33,20,,,
4,"Malignant neoplasm of prostate",C61,34,20,,,
4,"Malignant neoplasms of kidney and renal pelvis",C64-C65,35,20,,,
4,"Malignant neoplasm of bladder",C67,36,20,,,
