"GEO","Sex","YEAR","Avg_age"
"Alberta","F",1980,87
"Alberta","M",1980,80
"Alberta","F",1981,87
"Alberta","M",1981,80
"Alberta","F",1982,87
"Alberta","M",1982,80
"Alberta","F",1983,88
"Alberta","M",1983,80
"Alberta","F",1984,88
"Alberta","M",1984,80
"Alberta","F",1985,88
"Alberta","M",1985,81
"Alberta","F",1986,88
"Alberta","M",1986,81
"Alberta","F",1987,88
"Alberta","M",1987,81
"Alberta","F",1988,88
"Alberta","M",1988,81
"Alberta","F",1989,88
"Alberta","M",1989,81
"Alberta","F",1990,88
"Alberta","M",1990,82
"Alberta","F",1991,88
"Alberta","M",1991,82
"Alberta","F",1992,88
"Alberta","M",1992,82
"Alberta","F",1993,88
"Alberta","M",1993,82
"Alberta","F",1994,88
"Alberta","M",1994,82
"Alberta","F",1995,88
"Alberta","M",1995,82.5
"Alberta","F",1996,88
"Alberta","M",1996,83
"Alberta","F",1997,88
"Alberta","M",1997,83
"Alberta","F",1998,89
"Alberta","M",1998,83
"Alberta","F",1999,89
"Alberta","M",1999,84
"Alberta","F",2000,89
"Alberta","M",2000,84
"Alberta","F",2001,89
"Alberta","M",2001,84
"Alberta","F",2002,89
"Alberta","M",2002,85
"Alberta","F",2003,89
"Alberta","M",2003,85
"Alberta","F",2004,90
"Alberta","M",2004,85
"Alberta","F",2005,90
"Alberta","M",2005,85
"Alberta","F",2006,90
"Alberta","M",2006,86
"Alberta","F",2007,90
"Alberta","M",2007,86
"Alberta","F",2008,90
"Alberta","M",2008,86
"Alberta","F",2009,90
"Alberta","M",2009,86
"Alberta","F",2010,90
"Alberta","M",2010,86.5
"Alberta","F",2011,91
"Alberta","M",2011,87
"Alberta","F",2012,91
"Alberta","M",2012,87
"Alberta","F",2013,91
"Alberta","M",2013,87
"Alberta","F",2014,91
"Alberta","M",2014,87
"Alberta","F",2015,91
"Alberta","M",2015,87
"Alberta","F",2016,91
"Alberta","M",2016,87
"British Columbia","F",1980,88
"British Columbia","M",1980,80
"British Columbia","F",1981,88
"British Columbia","M",1981,81
"British Columbia","F",1982,88
"British Columbia","M",1982,81
"British Columbia","F",1983,88
"British Columbia","M",1983,81
"British Columbia","F",1984,88
"British Columbia","M",1984,81
"British Columbia","F",1985,88
"British Columbia","M",1985,81
"British Columbia","F",1986,88
"British Columbia","M",1986,81
"British Columbia","F",1987,88
"British Columbia","M",1987,82
"British Columbia","F",1988,88
"British Columbia","M",1988,82
"British Columbia","F",1989,88
"British Columbia","M",1989,82
"British Columbia","F",1990,88
"British Columbia","M",1990,82
"British Columbia","F",1991,88
"British Columbia","M",1991,83
"British Columbia","F",1992,88
"British Columbia","M",1992,83
"British Columbia","F",1993,88
"British Columbia","M",1993,83
"British Columbia","F",1994,88
"British Columbia","M",1994,83
"British Columbia","F",1995,89
"British Columbia","M",1995,83
"British Columbia","F",1996,89
"British Columbia","M",1996,84
"British Columbia","F",1997,89
"British Columbia","M",1997,84
"British Columbia","F",1998,89
"British Columbia","M",1998,84
"British Columbia","F",1999,89
"British Columbia","M",1999,85
"British Columbia","F",2000,89
"British Columbia","M",2000,85
"British Columbia","F",2001,89
"British Columbia","M",2001,85
"British Columbia","F",2002,89
"British Columbia","M",2002,86
"British Columbia","F",2003,90
"British Columbia","M",2003,86
"British Columbia","F",2004,90
"British Columbia","M",2004,86
"British Columbia","F",2005,90
"British Columbia","M",2005,86
"British Columbia","F",2006,90
"British Columbia","M",2006,87
"British Columbia","F",2007,90
"British Columbia","M",2007,87
"British Columbia","F",2008,90
"British Columbia","M",2008,87
"British Columbia","F",2009,90
"British Columbia","M",2009,87
"British Columbia","F",2010,91
"British Columbia","M",2010,88
"British Columbia","F",2011,91
"British Columbia","M",2011,88
"British Columbia","F",2012,91
"British Columbia","M",2012,88
"British Columbia","F",2013,91
"British Columbia","M",2013,88
"British Columbia","F",2014,91
"British Columbia","M",2014,88
"British Columbia","F",2015,91
"British Columbia","M",2015,88
"British Columbia","F",2016,91
"British Columbia","M",2016,88
"Canada","F",1980,86
"Canada","M",1980,78.5
"Canada","F",1981,86.5
"Canada","M",1981,79
"Canada","F",1982,87
"Canada","M",1982,79
"Canada","F",1983,87
"Canada","M",1983,79
"Canada","F",1984,87
"Canada","M",1984,79
"Canada","F",1985,87
"Canada","M",1985,79
"Canada","F",1986,87
"Canada","M",1986,79
"Canada","F",1987,87
"Canada","M",1987,80
"Canada","F",1988,87
"Canada","M",1988,80
"Canada","F",1989,87
"Canada","M",1989,80
"Canada","F",1990,88
"Canada","M",1990,80
"Canada","F",1991,88
"Canada","M",1991,81
"Canada","F",1992,88
"Canada","M",1992,81
"Canada","F",1993,88
"Canada","M",1993,81
"Canada","F",1994,88
"Canada","M",1994,81
"Canada","F",1995,88
"Canada","M",1995,82
"Canada","F",1996,88
"Canada","M",1996,82
"Canada","F",1997,88
"Canada","M",1997,82
"Canada","F",1998,88
"Canada","M",1998,82
"Canada","F",1999,88
"Canada","M",1999,83
"Canada","F",2000,88
"Canada","M",2000,83
"Canada","F",2001,89
"Canada","M",2001,84
"Canada","F",2002,89
"Canada","M",2002,84
"Canada","F",2003,89
"Canada","M",2003,84
"Canada","F",2004,89
"Canada","M",2004,85
"Canada","F",2005,89
"Canada","M",2005,85
"Canada","F",2006,90
"Canada","M",2006,85
"Canada","F",2007,90
"Canada","M",2007,86
"Canada","F",2008,90
"Canada","M",2008,86
"Canada","F",2009,90
"Canada","M",2009,86
"Canada","F",2010,90
"Canada","M",2010,86
"Canada","F",2011,90
"Canada","M",2011,87
"Canada","F",2012,90
"Canada","M",2012,87
"Canada","F",2013,91
"Canada","M",2013,87
"Canada","F",2014,91
"Canada","M",2014,87
"Canada","F",2015,91
"Canada","M",2015,87
"Canada","F",2016,91
"Canada","M",2016,87
"Manitoba","F",1980,87
"Manitoba","M",1980,79
